"Name","Longitude","Latitude","Year","Raw_Value","DOY","DOY_pred","DOY_filled","DOY_source"
"EwA at Fresh Pond",-71.145097454995,42.387327000031,2014,NA,NA,97.5891741069491,97.5891741069491,"predicted"
"EwA at Fresh Pond",-71.145097454995,42.387327000031,2015,NA,NA,97.4289315236044,97.4289315236044,"predicted"
"EwA at Fresh Pond",-71.145097454995,42.387327000031,2016,NA,NA,97.2686889402597,97.2686889402597,"predicted"
"EwA at Fresh Pond",-71.145097454995,42.387327000031,2017,NA,NA,97.108446356915,97.108446356915,"predicted"
"EwA at Fresh Pond",-71.145097454995,42.387327000031,2018,NA,NA,96.9482037735703,96.9482037735703,"predicted"
"EwA at Fresh Pond",-71.145097454995,42.387327000031,2019,NA,NA,96.7879611902256,96.7879611902256,"predicted"
"EwA at Fresh Pond",-71.145097454995,42.387327000031,2020,NA,NA,96.6277186068809,96.6277186068809,"predicted"
"EwA at Fresh Pond",-71.145097454995,42.387327000031,2021,NA,NA,96.4674760235362,96.4674760235362,"predicted"
"EwA at Fresh Pond",-71.145097454995,42.387327000031,2022,NA,NA,96.3072334401914,96.3072334401914,"predicted"
"EwA at Fresh Pond",-71.145097454995,42.387327000031,2023,NA,NA,96.1469908568467,96.1469908568467,"predicted"
"EwA at Fresh Pond",-71.145097454995,42.387327000031,2024,NA,NA,95.986748273502,95.986748273502,"predicted"
"EwA at Habitat",-71.185823360856,42.403868405641,2001,NA,NA,99.7284898114636,99.7284898114636,"predicted"
"EwA at Habitat",-71.185823360856,42.403868405641,2002,NA,NA,99.5682472281189,99.5682472281189,"predicted"
"EwA at Habitat",-71.185823360856,42.403868405641,2003,NA,NA,99.4080046447742,99.4080046447742,"predicted"
"EwA at Habitat",-71.185823360856,42.403868405641,2004,NA,NA,99.2477620614295,99.2477620614295,"predicted"
"EwA at Habitat",-71.185823360856,42.403868405641,2005,NA,NA,99.0875194780848,99.0875194780848,"predicted"
"EwA at Habitat",-71.185823360856,42.403868405641,2006,NA,NA,98.92727689474,98.92727689474,"predicted"
"EwA at Habitat",-71.185823360856,42.403868405641,2007,NA,NA,98.7670343113953,98.7670343113953,"predicted"
"EwA at Habitat",-71.185823360856,42.403868405641,2008,NA,NA,98.6067917280506,98.6067917280506,"predicted"
"EwA at Habitat",-71.185823360856,42.403868405641,2009,NA,NA,98.4465491447059,98.4465491447059,"predicted"
"EwA at Habitat",-71.185823360856,42.403868405641,2010,NA,NA,98.2863065613612,98.2863065613612,"predicted"
"EwA at Habitat",-71.185823360856,42.403868405641,2011,NA,NA,98.1260639780165,98.1260639780165,"predicted"
"EwA at Habitat",-71.185823360856,42.403868405641,2012,NA,NA,97.9658213946718,97.9658213946718,"predicted"
"EwA at Habitat",-71.185823360856,42.403868405641,2013,NA,NA,97.8055788113271,97.8055788113271,"predicted"
"EwA at Habitat",-71.185823360856,42.403868405641,2014,NA,NA,97.6453362279824,97.6453362279824,"predicted"
"EwA at Habitat",-71.185823360856,42.403868405641,2015,NA,NA,97.4850936446376,97.4850936446376,"predicted"
"EwA at Habitat",-71.185823360856,42.403868405641,2016,NA,NA,97.3248510612929,97.3248510612929,"predicted"
"EwA at Habitat",-71.185823360856,42.403868405641,2017,NA,NA,97.1646084779482,97.1646084779482,"predicted"
"EwA at Habitat",-71.185823360856,42.403868405641,2018,NA,NA,97.0043658946035,97.0043658946035,"predicted"
"EwA at Habitat",-71.185823360856,42.403868405641,2019,NA,NA,96.8441233112588,96.8441233112588,"predicted"
"EwA at Habitat",-71.185823360856,42.403868405641,2020,NA,NA,96.6838807279141,96.6838807279141,"predicted"
"EwA at Habitat",-71.185823360856,42.403868405641,2021,NA,NA,96.5236381445694,96.5236381445694,"predicted"
"EwA at Habitat",-71.185823360856,42.403868405641,2022,NA,NA,96.3633955612247,96.3633955612247,"predicted"
"EwA at Habitat",-71.185823360856,42.403868405641,2023,NA,NA,96.20315297788,96.20315297788,"predicted"
"EwA at Habitat",-71.185823360856,42.403868405641,2024,NA,NA,96.0429103945352,96.0429103945352,"predicted"
"EwA at Horn Pond",-71.15774573479,42.461360478055,2001,NA,NA,99.8662217068238,99.8662217068238,"predicted"
"EwA at Horn Pond",-71.15774573479,42.461360478055,2002,NA,NA,99.7059791234791,99.7059791234791,"predicted"
"EwA at Horn Pond",-71.15774573479,42.461360478055,2003,NA,NA,99.5457365401344,99.5457365401344,"predicted"
"EwA at Horn Pond",-71.15774573479,42.461360478055,2004,NA,NA,99.3854939567897,99.3854939567897,"predicted"
"EwA at Horn Pond",-71.15774573479,42.461360478055,2005,NA,NA,99.2252513734449,99.2252513734449,"predicted"
"EwA at Horn Pond",-71.15774573479,42.461360478055,2006,NA,NA,99.0650087901002,99.0650087901002,"predicted"
"EwA at Horn Pond",-71.15774573479,42.461360478055,2007,NA,NA,98.9047662067555,98.9047662067555,"predicted"
"EwA at Horn Pond",-71.15774573479,42.461360478055,2008,NA,NA,98.7445236234108,98.7445236234108,"predicted"
"EwA at Horn Pond",-71.15774573479,42.461360478055,2009,NA,NA,98.5842810400661,98.5842810400661,"predicted"
"EwA at Horn Pond",-71.15774573479,42.461360478055,2010,NA,NA,98.4240384567214,98.4240384567214,"predicted"
"EwA at Horn Pond",-71.15774573479,42.461360478055,2011,NA,NA,98.2637958733767,98.2637958733767,"predicted"
"EwA at Horn Pond",-71.15774573479,42.461360478055,2012,NA,NA,98.103553290032,98.103553290032,"predicted"
